                  id                  |                                                                                                                   content                                                                                                                    |                                                                                                                    metadata                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    embedding                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
--------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 532d85bf-8442-4c92-9426-cd1ab3330b8b | Here’s a detailed description of the image:                                                                                                                                                                                                 +| {"image_file_name": "86380906-A726-4919-AC1E-BC26F000981E.jpeg", "image_full_path": "/Volumes/data-r/Family Medias/Original-Photos/86380906-A726-4919-AC1E-BC26F000981E.jpeg", "source_text_file": "86380906-A726-4919-AC1E-BC26F000981E.txt"} | [0.01986286,0.03440564,0.017118642,0.006453387,0.013673659,-0.029674081,0.0033680813,0.029505705,0.03597213,0.007205286,-0.0061948025,0.007135994,-0.025932416,0.030713841,-0.008970854,-0.02979492,9.388106e-05,-0.043172684,-0.06284203,-0.024179991,0.0075222715,0.009659362,-0.014514629,-0.04824975,0.035307765,0.013455455,0.022797026,-0.0005485897,0.04668994,-0.011855946,0.004797149,0.026111834,0.017179163,-0.010045432,-0.0067795417,0.028283112,0.047464713,-0.07930411,0.014052848,-0.05097195,0.009512738,-0.014295252,0.04251026,-0.015052647,-0.017564047,-0.0017090715,0.0010154604,-0.009375694,0.0036000372,-0.01787156,0.018064123,-0.0028000313,0.014810511,-0.013966702,-0.041831676,-0.02070703,0.03458396,-0.0005242127,0.004904557,0.016360205,-0.015165753,0.014608103,0.043254968,-0.04203963,-0.017456837,0.02054377,-0.037978962,-0.019606343,0.0029087556,0.032140523,-0.037720762,0.04768686,0.031492393,0.017014189,-0.014322465,0.0042676292,-0.022023631,-0.011202727,0.030757943,0.033127304,0.014291466,0.07498523,0.003018088,-0.026301175,-0.030003507,-0.024770446,0.042713676,0.023722282,0.060720306,-0.019515228,0.024309969,0.06955815,-0.05712302,-0.022853002,-0.009676401,0.034030672,0.010108028,-0.013692259,-0.007544348,0.022534892,0.045842472,0.030285724,-0.012326314,0.025696322,-0.05659048,0.027766949,-0.054520942,-0.01711781,-0.0072145276,-0.027561903,0.053695057,-0.0039446196,0.0022258402,-0.028488526,-0.013991752,-0.0036619331,-0.0028137858,0.0434399,-0.039713424,-0.018276399,-0.06163057,0.007610938,0.003307004,0.016696863,0.0033377993,-0.003631631,0.0019215175,0.007597745,-0.045964785,0.035684172,-0.026131649,-0.007887787,0.0036840339,0.027122796,-0.010871201,0.01569647,-0.036499854,0.020588214,0.01683725,-0.05027273,0.018896503,0.029892294,0.017318336,0.06469415,0.006082085,0.014996712,0.00038645978,0.005413325,-0.038084958,-0.042738132,-0.035064973,-0.011523994,-0.019011118,0.02159256,-0.020597491,0.05116778,-0.03694865,-0.014060689,-0.028166238,-0.00015306735,-0.011297204,0.039874982,-0.014284577,0.019924184,-0.017508762,0.018200804,0.035201203,-0.013522942,-0.006811999,0.0010769002,0.0036338696,0.036084052,-0.006143569,-0.02792801,-0.007006193,0.03364369,0.013441235,0.011505252,0.015325417,0.014227658,-0.01629958,-0.032814052,0.010185123,0.021919344,-0.013934289,-0.014282774,-0.030186443,-0.03703428,-0.043124292,0.019605996,-0.0029956924,-0.0102298185,-0.05168932,-0.02314936,-0.0006730619,0.035161186,0.001606849,-0.044800535,-0.037689053,-0.06390639,-0.0660079,0.044663403,0.017738478,0.02004102,-0.023168836,-0.02991096,0.029776022,0.02940049,-0.040216513,0.037284147,0.016142381,0.011186527,0.0040293112,-0.029742435,0.016811913,-0.023862489,-0.0041613304,0.035139862,-0.011090942,0.057649482,0.027689256,0.020658616,0.03334236,0.04227811,-0.00981098,-0.020910164,0.00586141,0.039938677,-0.01445383,-0.0045446693,-0.043933813,0.04260989,-0.006760537,0.027364789,0.057467975,0.030830245,-0.0092001455,0.03193676,0.014189758,-0.018198585,-0.017612536,0.0050797174,0.06706451,0.008476834,0.053159807,0.008756304,0.03696737,-0.016946433,-0.018615343,0.019587971,-0.06938157,0.053833876,0.02793895,-0.011343889,-0.017763095,0.04511214,0.010007494,-0.017139794,-0.03951352,-0.04320397,-0.02972985,-0.012273877,-0.015896888,-0.014950975,-0.0041815783,-0.015687007,-0.034365304,0.02027662,-0.008574942,-0.056433264,-0.069625586,-0.030217465,-0.09859519,0.008148306,-0.0043502385,-0.022662401,0.026426993,-0.016594898,0.015817411,-0.023388622,-0.034501635,0.0040641907,-0.007939663,0.049482573,-0.01461324,-0.0028760252,-0.0006562993,0.0029235433,0.03214751,0.033394434,-0.043956593,0.057041008,-0.032977466,-0.04046022,0.0425407,-0.033547353,0.030293558,-0.033397935,0.013630596,-0.020505955,0.018467315,-0.041499242,-0.005516601,0.003733415,-0.05926887,0.034199823,0.0030947803,-0.0066515766,0.0033309315,0.033201177,-0.00631806,0.055563662,-0.052376032,0.022929695,-0.03336595,0.04753711,-0.016686719,0.043541104,0.016724817,-0.0030007365,-0.015575661,-0.0047381716,-0.0158844,-0.03578906,-0.06562965,0.01813175,0.04377289,-0.052804712,0.007866435,-0.04148429,-0.033725876,-0.0062688617,-0.03943004,0.010420452,0.019400306,0.030283723,0.028379055,-0.03317441,0.0071145287,0.044726633,0.026137447,-0.017924218,0.029759685,0.016681492,-0.053520404,0.016560197,-0.0049883383,-0.0122667495,-0.022743028,0.0030449214,-0.031148009,0.029710533,0.0040202797,-0.03139818,-0.0054059033,0.06836324,-0.057160083,0.0024086447,0.011548069,0.033604894,0.023346025,0.01723919,0.044874724,-0.046331603,-0.009761535,-0.02404033,0.0031241535,0.019782858,-0.009634486,-0.028704425,0.00935505,-0.0146225775,-0.006623748,0.0073722783,-0.010826944,-0.057909157,0.06307387,0.00832944,-0.008439887,-0.043082204,-0.014194356,-0.021533147,0.04781605,0.019895477,-0.0010528921,0.010329512,0.018775092,0.02351582,0.008896488,-0.061903074,0.013093694,-0.01137572,-0.01454112,0.0027337936,-0.060083997,0.0177255,0.0007635802,-0.0033557143,0.03590149,-0.00789424,0.04530047,-0.04002904,0.01617334,0.006927147,-0.014138388,0.0047643776,0.002029525,-0.006034005,0.05022488,-0.059253644,-0.023394734,0.009251359,0.014419338,0.016140385,0.040553793,0.021586748,-0.046704505,-0.007501525,-0.013631055,0.00060242566,-0.02076411,-0.02337499,-0.007903349,0.008232562,0.035444837,-0.04272476,0.043020237,-0.031620726,0.05756691,-0.02433832,-0.02075252,0.014340632,0.017457679,-0.01523749,0.0032145986,-0.0017419194,0.034930263,0.020079581,-0.006372831,-0.0044458294,0.00586146,0.0039022472,-0.0059406515,-0.020864774,0.013175699,-0.026816383,0.03441197,0.044684708,-0.014267993,-0.05385468,0.021040894,-0.03450867,-0.004180565,0.0077840704,-0.0206816,0.010790786,0.009376239,-0.0033202625,0.045235086,-0.03181565,-0.04881878,0.041092366,0.04773472,-0.0398079,-0.05183454,0.020185318,-0.024444247,0.034813967,0.07124646,0.010442569,-0.022532968,0.026462974,-0.02279949,-0.059564497,-0.010547099,-0.052346345,-0.007330839,0.015807282,0.015546936,0.015793214,-0.048526194,0.024113743,-0.033068817,0.016845452,-0.040684585,-0.0012659532,0.005346775,0.019646684,0.027972126,0.023357289,-0.0072243134,-0.015808923,0.005720147,-0.021593736,0.005805589,0.01342247,-0.050461497,0.03481031,0.038354456,-0.05272627,0.04513488,-0.0035373138,-0.011432773,0.037298575,-0.0031183765,-0.013967608,-0.049512163,0.014432262,-0.028951334,-0.0050428724,-0.0019518796,0.015076231,-0.03557184,-0.032488655,0.009892183,-0.006837134,-0.0026205021,-0.02298299,-0.0013498261,0.058093086,-0.005174409,-0.05389471,-0.0048311236,0.03435565,-0.0015314536,-0.0025715432,-0.032422114,-0.04147246,-0.022282122,-0.048362184,-0.004257417,-0.064151496,-0.00047965575,-0.019408144,0.02729561,-0.0033056557,0.014437757,0.009592273,-0.0012134933,0.025491074,-0.04286352,-0.032040276,-0.0130575625,-0.021939747,-0.01007964,-0.013504648,-0.013409487,0.039432857,0.008225837,0.023026671,0.018172251,0.050922584,0.020938609,0.056256127,-0.022535745,-0.0071609286,0.0058151977,-0.0020453508,0.014848152,-0.015883336,0.009818272,0.011650976,-0.034806322,0.01377249,-0.0044946168,-0.005127316,0.006700587,0.00902775,0.052762106,-0.023539431,0.02221752,-0.020944389,0.049014226,0.019384736,0.003387412,-0.025203103,-0.058384888,-0.00028236065,-0.0019407836,0.041269023,-0.017279038,-0.0301138,-0.017615296,0.034456663,0.010161048,-0.020528957,0.019132385,0.051925063,0.031795558,-0.06303444,-0.035529844,-0.021273531,-0.0067723277,0.04820052,-0.030280625,-0.009857656,-0.028884029,-0.0207334,-0.053434417,-0.06055218,-0.047947105,0.024436193,0.014763701,-0.03337747,0.06515002,-0.013651044,-0.04877183,0.0004083704,0.022182927,0.07883798,-0.027266005,0.049556922,0.020950997,-0.008116435,0.007004967,-0.013296168,-0.0023705964,-0.024011193,0.038198847,0.015829505,-0.034968946,0.0064658592,0.0494928,-0.0449619,-0.046843965,-0.007141014,-0.017802263,0.015564695,0.030061876,0.004440106,-0.014742572,-0.0077487305,-0.022024639,0.013748719,0.036367156,-0.025356628,-0.041127946,0.027662784,-0.013902631,-0.007408102,0.060967326,-0.025823304,-0.04071801,-0.046731643,-0.010056326,-0.022408139,-2.7030497e-05,0.009099468,-0.009788463,-0.014767237,0.0074452315,-0.020020196,0.0407658,0.019062897,-0.007570273,0.036933582,-0.0286546,-0.023207048,-0.019072289,0.05397139,0.019985331,-0.033977244,-0.049944147,-0.052235544,0.014369516,0.030035093,-0.0072064023,0.019115992,-0.07030047,-0.07669578,-0.023224918,-0.0107876705,-0.014444825,0.029495168,-0.025741141,0.02343087,-0.028137945,0.02275091,0.04167853,-0.0001600975,0.02540707,-0.03598756,0.0009283371,-0.04696768,-0.011514667,0.013986744,-0.015305461,0.0043214364,0.026474355,0.017934538,0.008104689,-0.008822837,0.058010057,0.012598119,0.033177786,0.015691828,0.007549341,-0.015726948,0.0051123397,0.009212669,-0.013335162,0.034538202,-0.05915894,0.0039943303,-0.024466213,-0.006284526,0.011640442,0.022200685,0.0044579944,0.02723836,0.006114699,0.05094314,0.00091275905,0.009629194,-0.023700867,0.0028196762,-0.00079939276,-0.024831206,-0.02868996,0.0029083558,0.023619602,0.02708105,0.02274196,-0.039715197,0.010717325,0.03485256,0.01325462,0.01920768,0.030476142,0.00975785,-0.038288627,0.022541577,0.047846988,-0.023541769,-0.01002435,0.0007601953,-0.014762685,-0.029376337,-0.010166433,-0.015150329,0.032791276,-0.016022006,-0.037711997,-0.0060542226,-0.03363398,0.0022406483,0.025658341,-0.029473336,-0.0016642271,-0.00397969,-0.012970233,-0.044479184,-0.016907506,-0.0009365373,0.061103445,0.026598489,-0.0035492827,0.01967924,0.014740105,0.0021818373,0.0008450949,0.0037686783,0.0052105268,-0.01568284,-0.0023889162,-0.011274702,-0.062791556,-0.023516202,0.018992836,-0.0007985342,-0.018300762,-0.046893537,0.03100236,-0.014074622,0.029456712,-0.04032341,0.017865857,-0.031379797,0.032181725,-0.028463565,-0.039734382,0.030235423,-0.022534251,0.05116137,-0.0602893,-0.00978453,0.0066387174,0.04258211,-0.049492702,0.021687828,0.026592398,0.044247687,0.0010837144,0.028970165,0.021380605,0.008188216,0.072106235,0.023060132,0.028848061,0.033883315,0.01929209,-0.0013658045,0.035955146,0.04758595,-0.045771837,-0.032301947,0.010478227,-0.052461136,0.030818526,-4.6415294e-05,-0.029327486,0.0066758855,-0.0119661875,-0.028720696,0.008225831,-0.04201544,0.0050046737,-0.045880307,0.001255529,-0.037532076,0.004351205,0.024098456,-0.00016351802,0.043119136,0.022424452,0.062014014,0.05731782,-0.028203303,0.028404845,-0.035430595,-0.009219217,0.0022747451,-0.0102923885,0.032007575,-0.013381224,-0.008952139,-0.04003636,-0.030225,0.049883205,-0.013237924,-0.031695645,0.019025607,-0.012922093,-0.04905327,-0.020236317,0.013677357,-0.051956188,-0.007981758,0.002811126,-0.030317675,-0.016921656,0.03952679,-0.022878367,0.032243196,0.055320792,0.048567574,-0.03244495,0.047549833,0.053019725,-0.01250627,0.007475096,0.026722122,0.007603325,0.009382309,0.050637916,0.02100916,0.028639387,-0.01249611,-0.09471315,-0.053062476,0.05985522,-0.028395856,-0.012818258,-0.0030687933,0.008168125,-0.011560264,-0.016235555,0.040332146,0.0063804304,0.01032817,0.03509717,-0.06357103,0.0037118574,-0.02199731,-0.032264452,0.040986042,-0.0016769086,-0.06813292,-0.014102869,-0.023864185,-0.028238118,0.009983856,0.039375424,-0.067108534,0.024840137,0.045234375,-0.006540339,0.026984068,-0.052881822,-0.03283659,0.04410824,0.05918013,0.011149951,0.031285696,0.030037174,-0.061886583,0.039228443,-0.047329746,0.021584503,0.02054586,0.021127515,0.02537942,0.021780455,0.0021283694,-0.008200165,-0.014638325,0.040957436,0.010277519,-0.00081617536,-0.09080248,-0.005379258,-0.05883719,0.039609455,-0.02334293,0.037898853,0.003100055,-0.033109378,0.027209444,-0.023102133,0.2503847,0.02818664,0.040715158,-0.044764165,0.017635943,0.035748772,0.039666835,-0.021012392,0.018126708,-0.005936328,0.06457804,0.008709207,0.011006691,-0.024280787,0.008043679,0.025544992,-0.027423136,-0.044223636,0.012706424,-0.04188063,0.011944454,-0.0073178196,0.02409794,-0.013912948,0.0057110735,-0.008751056,-0.010608791,-0.038840897,0.028824445,-0.01464025,-0.011331888,0.0022071395,0.058593918,-0.03685668,0.009006739,0.020989543,0.016726041,0.0051582144,-0.01164991,-0.06679548,-0.02217577,0.015643682,-0.0030186826,-0.028596552,-0.03220287,-0.008204369,-0.04751577,0.0129227,-0.0047237133,-0.056341954,0.0259673,-0.021179447,0.01538518,-0.013247557,-0.05136748,0.016456338,0.026185015,-0.015561698,0.01671294,0.03757784,0.042284697,-0.0075998018,0.0064743557,0.03171158,-0.05648128,0.056950275,0.008454929,0.023730716,-0.004489228,-0.039084487,-0.044652585,-0.05473207,0.057287194,-0.045633614,0.07536652,0.0073631145,0.016406348,0.002023903,0.045661174,-0.03766407,-0.051283397,-0.005182872,-0.012717078,0.021789437,0.036868457,-0.00905433,0.013886694,-0.0038723478,-0.037858777,0.033223454,0.02791058,0.04409943,0.0067499485,0.014733488,0.0005204403]
                                      |                                                                                                                                                                                                                                             +|                                                                                                                                                                                                                                                | 
                                      | **Overall Scene:**                                                                                                                                                                                                                          +|                                                                                                                                                                                                                                                | 
                                      |                                                                                                                                                                                                                                             +|                                                                                                                                                                                                                                                | 
                                      | The image captures a moment during a dolphin encounter. A young boy is actively interacting with a dolphin in a relatively calm body of water. There's a considerable amount of splashing water around the boy and the dolphin.             +|                                                                                                                                                                                                                                                | 
                                      |                                                                                                                                                                                                                                             +|                                                                                                                                                                                                                                                | 
                                      | **The Boy:**                                                                                                                                                                                                                                +|                                                                                                                                                                                                                                                | 
                                      |                                                                                                                                                                                                                                             +|                                                                                                                                                                                                                                                | 
                                      | *   **Appearance:** The boy has dark brown hair and appears to be a teenager or young adult.                                                                                                                                                +|                                                                                                                                                                                                                                                | 
